PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,TEAMHEADER
Taurean PrinceT. PrinceF,29:53,6,8,75.0,4,6,66.7,2,2,100,1,2,3,1,0,1,1,0,18,-14,Los Angeles Lakers
LeBron JamesL. JamesF,29:01,10,16,62.5,1,4,25.0,0,1,0.0,1,7,8,5,1,0,0,1,21,7,Los Angeles Lakers
Anthony DavisA. DavisC,34:09,6,17,35.3,1,2,50.0,4,4,100,1,7,8,4,0,2,2,3,17,-17,Los Angeles Lakers
Austin ReavesA. ReavesG,31:20,4,11,36.4,1,2,50.0,5,7,71.4,4,4,8,4,2,0,2,2,14,-14,Los Angeles Lakers
D'Angelo RussellD. RussellG,36:11,4,12,33.3,2,5,40.0,1,2,50.0,0,4,4,7,1,0,3,3,11,1,Los Angeles Lakers
Rui HachimuraR. Hachimura,14:38,3,10,30.0,0,3,0.0,0,0,0.0,2,1,3,0,0,0,0,2,6,-8,Los Angeles Lakers
Gabe VincentG. Vincent,22:18,3,8,37.5,0,4,0.0,0,0,0.0,1,0,1,2,1,0,2,3,6,-17,Los Angeles Lakers
Jaxson HayesJ. Hayes,6:54,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-7,Los Angeles Lakers
Cam ReddishC. Reddish,17:38,2,4,50.0,1,2,50.0,2,2,100,2,2,4,0,0,1,0,2,7,7,Los Angeles Lakers
Christian WoodC. Wood,15:28,3,4,75.0,0,1,0.0,1,2,50.0,1,3,4,0,0,0,1,1,7,2,Los Angeles Lakers
Max ChristieM. Christie,1:15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Los Angeles Lakers
Maxwell LewisM. Lewis,1:15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Los Angeles Lakers
TOTALS,,41,90,45.6,10,29,34.5,15,20,75.0,13,31,44,23,5,4,11,18,107,-12,Los Angeles Lakers
Michael Porter Jr.M. Porter Jr.F,30:07,5,13,38.5,2,9,22.2,0,0,0.0,2,10,12,2,2,0,0,1,12,12,Denver Nuggets
Aaron GordonA. GordonF,34:58,7,11,63.6,1,2,50.0,0,0,0.0,2,5,7,5,2,1,0,0,15,6,Denver Nuggets
Nikola JokicN. JokicC,36:15,12,22,54.5,3,5,60.0,2,4,50.0,3,10,13,11,1,1,2,2,29,15,Denver Nuggets
Kentavious Caldwell-PopeK. Caldwell-PopeG,36:14,8,12,66.7,2,3,66.7,2,2,100,1,1,2,1,3,1,3,5,20,10,Denver Nuggets
Jamal MurrayJ. MurrayG,34:14,8,13,61.5,3,5,60.0,2,2,100,0,2,2,6,0,1,1,3,21,3,Denver Nuggets
Reggie JacksonR. Jackson,24:04,3,8,37.5,2,5,40.0,0,0,0.0,0,3,3,1,1,0,2,0,8,11,Denver Nuggets
Peyton WatsonP. Watson,10:51,1,3,33.3,1,3,33.3,0,0,0.0,0,0,0,0,0,1,1,1,3,1,Denver Nuggets
Zeke NnajiZ. Nnaji,11:45,1,3,33.3,0,1,0.0,2,2,100,0,0,0,1,0,0,1,2,4,-3,Denver Nuggets
Christian BraunC. Braun,19:20,2,5,40.0,0,1,0.0,1,2,50.0,1,2,3,2,0,1,1,1,5,5,Denver Nuggets
Collin GillespieC. Gillespie,0:44,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Denver Nuggets
Braxton KeyB. Key,0:44,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Denver Nuggets
Jalen PickettJ. Pickett,0:44,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,Denver Nuggets
Justin HolidayJ. Holiday,DNP - Coach's Decision,Denver Nuggets,,,,,,,,,,,,,,,,,,,
DeAndre JordanD. Jordan,DNP - Coach's Decision,Denver Nuggets,,,,,,,,,,,,,,,,,,,
Julian StrawtherJ. Strawther,DNP - Coach's Decision,Denver Nuggets,,,,,,,,,,,,,,,,,,,
TOTALS,,48,91,52.7,14,34,41.2,9,12,75.0,9,33,42,29,9,6,11,15,119,12,Denver Nuggets
